ppl,position,title,link,channel,published_date,views,thumbnail
Kamala Harris,,Tyrus left speechless by Kamala Harris' new word salads,https://www.youtube.com/watch?v=KbldOmZjWnw,Fox News,,2290302,https://i.ytimg.com/vi/KbldOmZjWnw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYuIHv4uqkdXf4_a5dRR8ecFCspw
Kamala Harris,,Kamala Harris EXPOSED CURSING OUT CNN Anchor To Aides After Confronted On Joe Biden Mental Decline!,https://www.youtube.com/watch?v=s2rcW6IzzRI,Black Conservative Perspective,,345599,https://i.ytimg.com/vi/s2rcW6IzzRI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAn0S2MXrszOUQc753q9otMtQ6X3g
Kamala Harris,,"60 Minutes FCC Response: Unedited Video, Whitaker/Harris at the vice president’s residence",https://www.youtube.com/watch?v=WIxA8MF5r5Y,60 Minutes,,480614,https://i.ytimg.com/vi/WIxA8MF5r5Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAaXFkQrqjoiAmRSanx634Wn5uZ2Q
Kamala Harris,,Insiders reveal where they stand on Kamala Harris' next political move,https://www.youtube.com/watch?v=fstqDXUhyp0,Fox News,,74617,https://i.ytimg.com/vi/fstqDXUhyp0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZjL8yR0Q1ujLzHqyFdOQp_Bvb5g
Kamala Harris,,"Vice President Kamala Harris on Protecting Reproductive Rights, Trump’s Guilty Verdict & Health Care",https://www.youtube.com/watch?v=Ne3-KA8ja6g,Jimmy Kimmel Live,,2713785,https://i.ytimg.com/vi/Ne3-KA8ja6g/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCIOt2OWQEcsBpxPpSqoSCwlR-oPg
Kamala Harris,,Kamala Harris to speak Wednesday in San Francisco | KTVU,https://www.youtube.com/watch?v=LO_uW7hDKow,KTVU FOX 2 San Francisco,,6531,https://i.ytimg.com/vi/LO_uW7hDKow/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCc-ol1pF6j03bcRgzn4rKaRZHErg
Kamala Harris,,Bill Maher FINALLY EXPOSES Kamala Harris for Hating America On Live TV,https://www.youtube.com/watch?v=rss7ItuG0vY,Woke Blasters,,24872,https://i.ytimg.com/vi/rss7ItuG0vY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQ7R81sOu2a8Yu24xQOl7M-Ev4Tg
Kamala Harris,,Cardi B On Why She's Supporting Kamala Harris For President,https://www.youtube.com/watch?v=-XINcrcvrMU,Kamala Harris,,277249,https://i.ytimg.com/vi/-XINcrcvrMU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPsyvixCkL2RoW_hT1UJJe25Wz-g
Kamala Harris,,What to expect from Kamala Harris' first speech since leaving office,https://www.youtube.com/watch?v=NyLNYoVk2Rs,CBS News,,23957,https://i.ytimg.com/vi/NyLNYoVk2Rs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBB_qHcOmJuuFqSPmMLZAk01M2X7w
Kamala Harris,,Tulsi Gabbard rips Kamala Harris' record on criminal prosecutions,https://www.youtube.com/watch?v=Y4fjA0K2EeE,CNN,,6203923,https://i.ytimg.com/vi/Y4fjA0K2EeE/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxfQ8lbZ7w1j1XPd-KOs584pvu0g
Kamala Harris,,'Didn't have faith in her ability': New book reveals Obama 'worked against' Harris in '24,https://www.youtube.com/watch?v=b0VaxKhnoX0,MSNBC,,374917,https://i.ytimg.com/vi/b0VaxKhnoX0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDOK0MwExaU6Zsb7DkSGbjGjIX-Gw
Kamala Harris,,Maya Rudolph as Kamala Harris in the SNL Season 50 Premiere,https://www.youtube.com/watch?v=mPsrsKnP5QE,MsMojo,,7146176,https://i.ytimg.com/vi/mPsrsKnP5QE/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARheIFYoZTAP&rs=AOn4CLDOf4SrXRaWszKpoWRLW3cjcaseBw
Kamala Harris,,Why Kamala Harris Lost A Brutal Reality Check,https://www.youtube.com/watch?v=1nZefTLJpU4,Kevin O'Leary,,3075488,https://i.ytimg.com/vi/1nZefTLJpU4/hq720_2.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARhyIEMoOTAP&rs=AOn4CLD0mZkcc2EuImify4ZOn_QBGXbstg
Kamala Harris,,Vice President Kamala Harris grilled on pivotal issues as election nears on 'Special Report',https://www.youtube.com/watch?v=80DaR2CVNNk,Fox News,,6790255,https://i.ytimg.com/vi/80DaR2CVNNk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD76ul4I8xrjZCArCe0Yc6sBDkxVA
Kamala Harris,,'The View' Co-Hosts Reflect On Interview With Vice Pres. Kamala Harris | The View,https://www.youtube.com/watch?v=ghNN-OWPYSo,The View,,280776,https://i.ytimg.com/vi/ghNN-OWPYSo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-g6yR1uQx7K-a4eAT5CnY9mELmQ
Kamala Harris,,Did Kamala Harris Cover Up Joe Biden's Decline? (Full Interview with Antonio Villaraigosa),https://www.youtube.com/watch?v=88hyPAPWs7I,Elex Michaelson,,9561,https://i.ytimg.com/vi/88hyPAPWs7I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLakUU7QnHaZZp5VCkk2kTU6QM0A
Kamala Harris,,On the trail with the Boss (and President Obama).,https://www.youtube.com/watch?v=4o6V4dThDhU,Kamala Harris,,4975532,https://i.ytimg.com/vi/4o6V4dThDhU/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBtgiAAoAPigIMCAAQARgTIDMofzAP&rs=AOn4CLAxvDA-c2YpmQpA3UVs3p5iu72jaA
Kamala Harris,,Kamala Harris Just Said… Absolutely Nothing,https://www.youtube.com/watch?v=THMYW9ZgfO8,Valuetainment,,90188,https://i.ytimg.com/vi/THMYW9ZgfO8/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGABwAcABBvABAfgBzgWAAoAKigIMCAAQARhyIFMoPDAP&rs=AOn4CLCJNGELtGF2cugyDSBA5xRFDJByCg
Kamala Harris,,LIVE: OPRAH & Kamala Harris hold town hall,https://www.youtube.com/watch?v=DSRnUpZyCgU,Brian Tyler Cohen,,622883,https://i.ytimg.com/vi/DSRnUpZyCgU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCvAIcNRTHY-IWxM-DH5Xw36qEpNw
Kamala Harris,,The Extended Interview with Vice President Kamala Harris | The Jennifer Hudson Show,https://www.youtube.com/watch?v=qabZYVGz3Hw,Jennifer Hudson Show,,77908,https://i.ytimg.com/vi/qabZYVGz3Hw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9q7_aNfkp08zi6ZWPTqUKAE_kXA
Kamala Harris,,LIVE | Former Vice President Kamala Harris is arriving back in California at Burbank Airport.,https://www.youtube.com/watch?v=s4-jfkcmvR0,KCRA 3,,20705,https://i.ytimg.com/vi/s4-jfkcmvR0/hq720.jpg?sqp=-oaymwE2COgCEMoBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhLIFUoZTAP&rs=AOn4CLDtzq6yLt4UWULOrIBxzP0_hc1O5Q
